Order_Date,orders,avg_time,breach_rate
2022-02-11,901,23.50610432852386,11.0
2022-02-12,769,30.52665799739922,42.8
2022-02-13,876,23.35159817351598,10.8
2022-02-14,752,30.418882978723403,43.8
2022-02-15,862,23.33062645011601,12.1
2022-02-16,757,30.652575957727873,43.7
2022-02-17,866,23.526558891454965,10.6
2022-02-18,744,29.94489247311828,40.3
2022-03-01,1056,23.306818181818183,10.6
2022-03-02,924,29.708874458874458,37.9
2022-03-03,1091,23.156736938588452,11.6
2022-03-04,889,29.894263217097862,38.8
2022-03-05,1093,23.114364135407136,10.7
2022-03-06,902,30.246119733924612,40.7
2022-03-07,1081,23.0527289546716,9.8
2022-03-08,884,30.09502262443439,42.1
2022-03-09,1104,23.469202898550726,12.0
2022-03-10,898,30.493318485523385,41.5
2022-03-11,1070,23.402803738317758,10.8
2022-03-12,887,29.83878241262683,39.2
2022-03-13,1102,23.429219600725954,10.3
2022-03-14,883,30.49263873159683,41.2
2022-03-15,1123,23.384683882457704,12.3
2022-03-16,909,29.845984598459847,41.3
2022-03-17,1060,23.264150943396228,11.5
2022-03-18,897,30.49386845039019,42.3
2022-03-19,1089,23.25068870523416,10.7
2022-03-20,897,30.379041248606466,40.4
2022-03-21,1083,23.693444136657433,12.3
2022-03-23,884,30.41176470588235,41.0
2022-03-24,1081,23.076780758556893,10.4
2022-03-25,889,29.6962879640045,38.6
2022-03-26,1107,23.224932249322492,11.9
2022-03-27,893,29.680851063829788,39.0
2022-03-28,1078,23.54359925788497,12.2
2022-03-29,896,30.246651785714285,40.8
2022-03-30,1068,23.485955056179776,10.9
2022-03-31,895,29.483798882681565,37.8
2022-04-01,1082,23.446395563770796,10.7
2022-04-02,904,29.98230088495575,39.5
2022-04-03,1108,23.212996389891696,11.1
2022-04-04,866,29.57043879907621,38.3
2022-04-05,1087,23.347746090156395,10.4
2022-04-06,879,29.725824800910125,38.0
